CustomerID,FirstName,LastName,Email,Phone,City,State,ZipCode,PurchaseAmount,TransactionDate,ChannelCode,TerritoryName,StoreDivisionNumber,SuperChannelDesc
1654,,Johnson,robert.johnson@yahoo.com,342-854-2679,Dallas,TX,75201,679.93,2025-01-17,Mobile App,Northeast,DIV005,Direct
1223,Jennifer,Green,jgreen@gmail.com,403-833-9928,Nashville,TN,37201,425.32,2025-03-23,Distributor,West,DIV003,Retail
1348,Charles,Moore,charles.moore@hotmail.com,294-489-2584,San Antonio,TX,78201,365.39,2025-08-24,Wholesale,West,DIV003,Retail
1996,Lisa,Garcia,lgarcia@hotmail.com,833-982-6925,Seattle,WA,98101,581.58,2025-02-10,Online,Northeast,DIV002,B2B
1887,Patricia,Hall,phall@outlook.com,000-000-0000,Dallas,TX,75201,361.72,2025-11-22,Wholesale,Mid-Atlantic,DIV001,Partner
1746,Richard,Taylor,richardtaylor@outlook.com,855-804-4598,CHARLOTTE,NC,28201,687.77,2025-07-25,Online,Southeast,DIV001,B2B
1216,Donna,Clark,donnaclark@aol.com,605-758-8517,San Antonio,TX,78201,151.44,2025-05-15,In-Store,Southeast,DIV005,Partner
1438,,Allen,steven.allen@yahoo.com,721-605-2489,Jacksonville,FL,32099,758.22,2025-11-02,Online,Southeast,DIV002,Direct
1390,Carol,Nguyen,cnguyen@hotmail.com,211-796-2876,San Francisco,ca,94101,684.89,2025-02-27,Mobile App,Pacific Northwest,DIV003,B2B
1161,Mark,Smith,mark.smith@icloud.com,719-208-5889,Dallas,TX,75201,843.25,2025-07-11,Mobile App,West,DIV002,E-Commerce
1552,Jason,Adams,jasonadams@icloud.com,700-119-2832,New York,NY,10001,929.81,2025-10-18,Wholesale,Southeast,DIV001,E-Commerce
1087,Laura,Flores,laura.flores@icloud.com,331-775-8787,Chicago,IL,60601,947.38,2025-08-05,In-Store,Midwest,DIV005,Partner
1951,Sandra,Thomas,sthomas@outlook.com,865-482-8177,San Jose,CA,95101,900.62,2025-02-02,Distributor,Northeast,DIV002,E-Commerce
1602,Kenneth,White,kenneth.white@yahoo.com,272-824-1964,Denver,CO,80201,0,2025-09-21,Online,Pacific Northwest,DIV003,Retail
1685,Donald,,djackson@yahoo.com,784-690-8744,Seattle,WA,98101,250.57,2025-02-18,Distributor,Pacific Northwest,DIV004,E-Commerce
1441,Dorothy,Scott,dscott@outlook.com,255-789-2612,Columbus,OH,,70.01,2025-04-09,Wholesale,Pacific Northwest,DIV001,E-Commerce
1459,Linda,Scott,lindascott@hotmail.com,455-995-2235,Philadelphia,PA,19101,448.7,2025-01-08,Mobile App,Northeast,DIV001,Partner
1948,Sarah,Harris,sarahharris@outlook.com,692-318-7570,Philadelphia,PA,19101,903.42,2025-05-16,In-Store,Southwest,DIV001,Direct
1803,,Young,myoung@aol.com,769-777-8973,Columbus,OH,43085,163.25,2025-10-05,Wholesale,Southeast,DIV001,Partner
1321,,Brown,bbrown@outlook.com,743-261-1931,Denver,CO,80201,961.17,2025-11-01,Online,Pacific Northwest,DIV002,Retail
1882,Richard,Allen,richard.allen@icloud.com,792-708-1651,Houston,TX,77001,623.19,2025-09-25,Distributor,Mid-Atlantic,DIV005,Partner
1267,David,Clark,davidclark@hotmail.com,334-787-5915,San Diego,CA,92101,462.65,2025-10-16,Online,Northeast,DIV004,Partner
